,Name,Address,Rating,latitude,longitude,genera_type,place_id,icon,business_status,type
187,Aljonaid Trading Company,"J47Q+8XX, Jeddah",5,21.613371,39.13999159999999,"['point_of_interest', 'establishment']",ChIJ71TEmBPawxURcBCnpeGbt70,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
188,مركز المعرفة الشامل للتدريب,"Prince Sultan Branch Road, J47R+G4M, Jeddah",1,21.6138442,39.14028160000001,"['point_of_interest', 'establishment']",ChIJFXPuvBPawxURDTM_Qj-hkmY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,OPERATIONAL,point_of_interest
189,هرماس الجزيرة - Hirmas Aljazeera,"8560 الامير سلطان, An Nahdah District, جدة",3.7,21.6135265,39.1397525,"['point_of_interest', 'establishment']",ChIJvw2mnhPawxURENuB6oPZiIo,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
190,مؤسسة رحلات الترفيهية,"ميدان التاريخ, J47Q+GW3, طريق الامير سلطان, Jeddah",4.1,21.6137584,39.139785,"['point_of_interest', 'establishment']",ChIJ7-0b2rzawxURiR4VXIKucus,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
191,"Volume IT & Communication Co, Ltd.","8588 الامير سلطان، An Nahdah District, Jeddah 23523 4247",4.1,21.6138045,39.1398112,"['point_of_interest', 'establishment']",ChIJz1h28h7QwxURxD6oSBoOj7g,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
192,Abdul Latif Jameel Services Company Limited,"الامير سلطان، حي النهضة, Jeddah",3,21.61375139999999,39.1397301,"['point_of_interest', 'establishment']",ChIJafQpmhPawxURExpVBNcg3Nw,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
193,الشريك الرابح Winning Partner,"Prince Sultan Road, Jeddah",5,21.6137862,39.1397311,"['finance', 'point_of_interest', 'establishment']",ChIJS-wemhPawxURaMv8aNZMOnI,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,finance
194,Kayan Al Haditha,"Prince Sultan Road, J47Q+GV8, Jeddah",4,21.6137771,39.139691,"['point_of_interest', 'establishment']",ChIJG2MWmhPawxUR0Qrl8do2b1Q,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
195,Vision International,"8588 الامير سلطان, An Nahdah District,, جدة",N/A,21.6137604,39.1395704,"['point_of_interest', 'establishment']",ChIJZTU3mhPawxURIZIXj7I0tRs,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
196,مناسباتي العربية المبتكرة,"Prince Sultan Branch Road, J47R+67H, Jeddah",5,21.6130633,39.14073279999999,"['point_of_interest', 'establishment']",ChIJm1vlpxPawxURN483X2-BJZw,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,CLOSED_TEMPORARILY,point_of_interest
197,Alhazen,"الامير سلطان, J47R+68G, Jeddah",N/A,21.6130742,39.140832,"['point_of_interest', 'establishment']",ChIJ64VMqBPawxURhIE9tKTuvN4,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
198,Samman for Automatic Doors,"الامير سلطان فرعي، 2368،, JENC8163، 8163, Jeddah",3.5,21.612853,39.1408569,"['electronics_store', 'general_contractor', 'store', 'point_of_interest', 'establishment']",ChIJTzL1HxPawxURIvMAzcFf96M,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,electronics_store
199,As Salamah,As Salamah,N/A,21.5878556,39.1526153,"['sublocality_level_1', 'sublocality', 'political']",ChIJj6vNi3jawxURmvOF0FkJqJg,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,N/A,sublocality_level_1
206,مساكن المروة للأجنحة الفندقية,"Hira Street, Jeddah",3,21.6095197,39.1348861,"['lodging', 'point_of_interest', 'establishment']",ChIJGYrQX2rawxURaFKJBu4a3uw,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,OPERATIONAL,lodging
208,روائع الأرضيات الخشبية,"مقابل حراء افينيو, Prince Sultan Road, Jeddah",4.7,21.6116653,39.14131930000001,"['general_contractor', 'point_of_interest', 'establishment']",ChIJP9WV3xLawxURD6MxKF7Kx_o,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,general_contractor
209,Mousa Automatic Doors,"ميدان التاريخ, Jeddah",2.6,21.6112445,39.1414261,"['point_of_interest', 'establishment']",ChIJSWbA2BLawxURBo4djjNeNSs,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
210,Saudi Fisheries Company,"Hira Street, Jeddah",2.9,21.6105079,39.14029310000001,"['food', 'point_of_interest', 'establishment']",ChIJK-B-zGzawxURoJp9ssTi1uk,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,food
211,باثابت,"Hira Street, Jeddah",4.2,21.61124119999999,39.1420508,"['point_of_interest', 'establishment']",ChIJxfK3VkTawxURLzwO5xlQkZA,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
212,المناسبات الدولية,"ميدان التاريخ, Hira Street, Jeddah",4.6,21.6112322,39.1420536,"['point_of_interest', 'establishment']",ChIJ33aLKCfPwxURUMx2WLCZu1A,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
213,Riyadh For Recruitment,"Roman Center Building, Al Ghazqawi, Jeddah",3.1,21.6104207,39.1415502,"['point_of_interest', 'establishment']",ChIJj5Ns0xLawxURmk2pDeA3QLQ,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
214,Dr. Style Clinics,"شارع الأمير سلطان، Jeddah, Jeddah",3.9,21.6103104,39.1415244,"['hospital', 'beauty_salon', 'hair_care', 'store', 'doctor', 'health', 'point_of_interest', 'establishment']",ChIJA9zX1BLawxURsNFbzkQKfiM,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,OPERATIONAL,hospital
216,Company Triangle teaching aids,طريق الامير سلطان، السلامة،,4.1,21.6101063,39.1415355,"['point_of_interest', 'establishment']",ChIJ8fMXbSrOwxURovZG6aY8D1Q,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,OPERATIONAL,point_of_interest
